Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,cp_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
BF,1,0,8793,9,1776,4332,2555,15,15223,6446,9,9,9,115,-,4.2016ns,-,-,-,-,37,-,-
BF,1,1,8793,9,1776,4332,2555,15,15223,6446,9,9,9,115,-,4.2016ns,-,-,-,-,37,-,-
BF,1,2,8793,9,1776,4332,2555,15,15223,6446,9,9,9,115,-,4.2016ns,-,-,-,-,37,-,-
BF,1,3,8793,9,1776,4332,2555,15,15223,6446,9,9,9,115,-,4.2016ns,-,-,-,-,37,-,-
BF,1,4,8793,9,1776,4332,2555,15,15223,6446,9,9,9,115,-,4.2016ns,-,-,-,-,37,-,-
BF,1,5,8793,9,1776,4332,2555,15,15223,6446,9,9,9,115,-,4.2016ns,-,-,-,-,37,-,-
BF,1,6,8793,9,1776,4332,2555,15,15223,6446,9,9,9,115,-,4.2016ns,-,-,-,-,37,-,-
BF,1,7,8793,9,1776,4332,2555,15,15223,6446,9,9,9,115,-,4.2016ns,-,-,-,-,37,-,-
BF,1,8,8793,9,1776,4332,2555,15,15223,6446,9,9,9,115,-,4.2016ns,-,-,-,-,37,-,-
BF,1,9,8793,9,1776,4332,2555,15,15223,6446,9,9,9,115,-,4.2016ns,-,-,-,-,37,-,-
BF,1,10,8793,9,1776,4332,2555,15,15223,6446,9,9,9,115,-,4.2016ns,-,-,-,-,37,-,-
BF,1,11,8793,9,1776,4332,2555,15,15223,6446,9,9,9,115,-,4.2016ns,-,-,-,-,37,-,-
BF,1,12,8793,9,1776,4332,2555,15,15223,6446,9,9,9,115,-,4.2016ns,-,-,-,-,37,-,-
BF,1,13,8793,9,1776,4332,2555,15,15223,6446,9,9,9,115,-,4.2016ns,-,-,-,-,37,-,-
BF,1,14,8793,9,1776,4332,2555,15,15223,6446,9,9,9,115,-,4.2016ns,-,-,-,-,37,-,-
BF,1,15,8793,9,1776,4332,2555,15,15223,6446,9,9,9,115,-,4.2016ns,-,-,-,-,37,-,-
BF,1,16,8793,9,1776,4332,2555,15,15223,6446,9,9,9,115,-,4.2016ns,-,-,-,-,37,-,-
BF,1,17,8793,9,1776,4332,2555,15,15223,6446,9,9,9,115,-,4.2016ns,-,-,-,-,37,-,-
BF,1,18,10021,15,2771,4326,2775,15,17987,7798,15,15,15,134,-,4.2266ns,-,-,-,-,45,-,-
BF,1,19,10021,15,2771,4326,2775,15,17987,7798,15,15,15,134,-,4.2266ns,-,-,-,-,45,-,-
BF,1,20,10021,15,2771,4326,2775,15,17987,7798,15,15,15,134,-,4.2266ns,-,-,-,-,45,-,-
BF,1,21,10021,15,2771,4326,2775,15,17987,7798,15,15,15,134,-,4.2266ns,-,-,-,-,45,-,-
BF,1,22,10021,15,2771,4326,2775,15,17987,7798,15,15,15,134,-,4.2266ns,-,-,-,-,45,-,-
BF,1,23,10021,15,2771,4326,2775,15,17987,7798,15,15,15,134,-,4.2266ns,-,-,-,-,45,-,-
BF,1,24,10920,22,4058,4008,2723,0,19644,8797,22,22,22,131,-,4.1493ns,-,-,-,-,39,-,-
BF,1,25,10920,22,4058,4008,2723,0,19644,8797,22,22,22,131,-,4.1493ns,-,-,-,-,39,-,-
BF,1,26,8139,15,2650,3156,2231,0,14875,6587,15,15,15,102,-,5.4159ns,-,-,-,-,31,-,-
BF,1,27,8139,15,2650,3156,2231,0,14875,6587,15,15,15,102,-,5.4159ns,-,-,-,-,31,-,-
BF,1,28,8139,15,2650,3156,2231,0,14875,6587,15,15,15,102,-,5.4159ns,-,-,-,-,31,-,-
BF,1,29,8139,15,2650,3156,2231,0,14875,6587,15,15,15,102,-,5.4159ns,-,-,-,-,31,-,-
BF,1,30,10920,22,4058,4008,2723,0,19644,8797,22,22,22,131,-,4.1493ns,-,-,-,-,39,-,-
BF,1,31,10920,22,4058,4008,2723,0,19644,8797,22,22,22,131,-,4.1493ns,-,-,-,-,39,-,-
BF,1,32,8139,15,2650,3156,2231,0,14875,6587,15,15,15,102,-,5.4159ns,-,-,-,-,31,-,-
BF,1,33,8139,15,2650,3156,2231,0,14875,6587,15,15,15,102,-,5.4159ns,-,-,-,-,31,-,-
BF,1,34,8139,15,2650,3156,2231,0,14875,6587,15,15,15,102,-,5.4159ns,-,-,-,-,31,-,-
BF,1,35,8139,15,2650,3156,2231,0,14875,6587,15,15,15,102,-,5.4159ns,-,-,-,-,31,-,-
BF,1,36,10021,15,2771,4326,2775,15,17987,7798,15,15,15,134,-,4.2266ns,-,-,-,-,45,-,-
BF,1,37,10021,15,2771,4326,2775,15,17987,7798,15,15,15,134,-,4.2266ns,-,-,-,-,45,-,-
