Method,RunTime,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,cp_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
BF,412,0,928,6,265,456,195,0,1822,849,6,6,6,12,-,1.2401ns,-,-,-,-,62,-,-
BF,412,5,935,6,265,474,168,0,1728,817,7,7,7,28,-,1.2401ns,-,-,-,-,49,-,-
BF,412,11,1061,6,255,492,269,0,2405,1031,7,7,7,45,-,1.4901ns,-,-,-,-,29,-,-
BF,412,17,1123,6,251,492,330,0,2722,1156,7,7,7,50,-,1.5801ns,-,-,-,-,25,-,-
BF,412,19,1687,12,446,834,369,0,3396,1541,12,12,12,38,-,2.1229ns,-,-,-,-,24,-,-
BF,412,20,2425,8,885,1014,493,0,4851,2228,8,8,8,33,-,2.9329ns,-,-,-,-,12,-,-
BF,412,21,5039,3,2968,1938,128,0,8379,4302,3,3,3,5,-,3.4729ns,-,-,-,-,3,-,-
BF,412,24,946,5,262,492,165,0,1711,814,6,6,6,27,-,1.2401ns,-,-,-,-,48,-,-
BF,412,29,981,5,262,510,164,0,1771,842,7,7,7,45,-,1.2401ns,-,-,-,-,35,-,-
BF,412,51,6247,1,3175,3072,0,0,8598,4375,1,1,1,0,0,3.2829ns,-,-,-,-,1,-,-
GA_2,464,21,981,5,262,510,164,0,1771,842,7,7,7,45,-,1.2401ns,-,-,-,-,35,-,-
GA_2,464,22,5821,7,3180,2346,282,0,9764,4892,7,7,7,13,-,3.353ns,-,-,-,-,11,-,-
GA_2,464,28,1123,6,251,492,330,0,2722,1156,7,7,7,50,-,1.5801ns,-,-,-,-,25,-,-
GA_2,464,74,1687,12,446,834,369,0,3396,1541,12,12,12,38,-,2.1229ns,-,-,-,-,24,-,-
GA_5,2853,1,928,6,265,456,195,0,1822,849,6,6,6,12,-,1.2401ns,-,-,-,-,62,-,-
GA_5,2853,36,6247,1,3175,3072,0,0,8598,4375,1,1,1,0,0,3.2829ns,-,-,-,-,1,-,-
GA_5,2853,38,5039,3,2968,1938,128,0,8379,4302,3,3,3,5,-,3.4729ns,-,-,-,-,3,-,-
GA_5,2853,39,981,5,262,510,164,0,1771,842,7,7,7,45,-,1.2401ns,-,-,-,-,35,-,-
GA_5,2853,64,2425,8,885,1014,493,0,4851,2228,8,8,8,33,-,2.9329ns,-,-,-,-,12,-,-
GA_5,2853,74,1687,12,446,834,369,0,3396,1541,12,12,12,38,-,2.1229ns,-,-,-,-,24,-,-
GA_5,2853,164,1123,6,251,492,330,0,2722,1156,7,7,7,50,-,1.5801ns,-,-,-,-,25,-,-
GA_10,1876,4,928,6,265,456,195,0,1822,849,6,6,6,12,-,1.2401ns,-,-,-,-,62,-,-
GA_10,1876,7,946,5,262,492,165,0,1711,814,6,6,6,27,-,1.2401ns,-,-,-,-,48,-,-
GA_10,1876,17,6247,1,3175,3072,0,0,8598,4375,1,1,1,0,0,3.2829ns,-,-,-,-,1,-,-
GA_10,1876,79,1687,12,446,834,369,0,3396,1541,12,12,12,38,-,2.1229ns,-,-,-,-,24,-,-
GA_10,1876,81,5237,2,653,3504,1079,0,8044,3471,2,2,2,1,0,2.2729ns,-,-,-,-,8,-,-
GA_10,1876,125,2425,8,885,1014,493,0,4851,2228,8,8,8,33,-,2.9329ns,-,-,-,-,12,-,-
GA_10,1876,149,1061,6,255,492,269,0,2405,1031,7,7,7,45,-,1.4901ns,-,-,-,-,29,-,-
GA_10,1876,156,981,5,262,510,164,0,1771,842,7,7,7,45,-,1.2401ns,-,-,-,-,35,-,-
GA_10,1876,160,935,6,265,474,168,0,1728,817,7,7,7,28,-,1.2401ns,-,-,-,-,49,-,-
GA_10,1876,324,1123,6,251,492,330,0,2722,1156,7,7,7,50,-,1.5801ns,-,-,-,-,25,-,-
GA_10,1876,326,6095,2,1512,3498,1084,0,9778,4431,2,2,2,1,0,2.8929ns,-,-,-,-,4,-,-
