Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,cp_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
GA,1,0,21899,10,18159,2316,1299,4,34388,16065,10,10,10,121,-,4.9463ns,-,-,-,-,28,-,-
GA,1,1,17059,7,14026,2070,895,4,28474,13582,7,7,7,64,-,5.0297ns,-,-,-,-,29,-,-
GA,1,2,16869,6,13521,2088,1191,4,27809,13299,6,6,6,65,-,6.1196ns,-,-,-,-,27,-,-
GA,1,3,18505,3,15892,1854,736,0,31575,15137,3,3,3,23,-,5.1299ns,-,-,-,-,9,-,-
GA,1,4,,,,,,,,,,,,,,,,,,,,,
GA,1,5,13768,5,11112,1878,734,0,23546,11198,6,6,6,44,-,4.5494ns,-,-,-,-,26,-,-
GA,1,6,18049,7,14988,2088,902,4,28942,13707,7,7,7,67,-,5.0697ns,-,-,-,-,29,-,-
GA,1,7,12239,7,9302,1884,964,4,20277,9681,8,8,8,85,-,5.4995ns,-,-,-,-,29,-,-
GA,1,8,21726,5,18882,2082,726,0,34357,16418,5,5,5,36,-,5.2015ns,-,-,-,-,19,-,-
GA,1,9,14782,5,12196,1788,749,0,25201,12039,6,6,6,49,-,5.7113ns,-,-,-,-,15,-,-
GA,1,10,9605,3,7686,1284,590,4,16027,7721,3,3,3,41,0,5.0753ns,-,-,-,-,9,-,-
GA,1,11,11998,4,9385,1404,1133,4,20376,9518,4,4,4,72,0,5.2797ns,-,-,-,-,17,-,-
GA,1,12,19051,6,15215,2064,1713,0,32281,15307,6,6,6,59,-,6.0433ns,-,-,-,-,21,-,-
GA,1,13,14137,6,10403,2178,1488,0,24000,11152,7,7,7,68,-,4.9939ns,-,-,-,-,21,-,-
GA,1,14,16492,5,12886,2070,1469,0,27487,12648,5,5,5,67,-,5.3197ns,-,-,-,-,25,-,-
GA,1,15,7905,8,4768,2112,947,0,13051,6100,10,10,10,78,-,4.5247ns,-,-,-,-,36,-,-
