Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,cp_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
BF,1,0,3292,22,1479,1002,743,0,6975,3112,22,22,22,68,-,2.0001ns,-,-,-,-,60,-,-
BF,1,1,3322,24,1479,1044,729,0,6988,3126,24,24,24,70,-,2.0401ns,-,-,-,-,76,-,-
BF,1,2,3292,22,1479,1002,743,0,6975,3112,22,22,22,68,-,2.0001ns,-,-,-,-,60,-,-
BF,1,3,3325,24,1479,1044,730,0,7011,3140,24,24,24,72,-,2.0251ns,-,-,-,-,62,-,-
BF,1,4,3825,23,1603,1350,787,0,7830,3480,24,24,24,85,-,2.0001ns,-,-,-,-,62,-,-
BF,1,5,3871,25,1603,1392,789,0,7885,3513,26,26,26,87,-,2.0901ns,-,-,-,-,79,-,-
BF,1,6,3825,23,1603,1350,787,0,7830,3480,24,24,24,85,-,2.0001ns,-,-,-,-,62,-,-
BF,1,7,3871,25,1603,1392,789,0,7886,3512,26,26,26,87,-,2.0901ns,-,-,-,-,64,-,-
BF,1,8,3903,22,1599,1374,841,0,8055,3577,23,23,23,89,-,1.9801ns,-,-,-,-,61,-,-
BF,1,9,3903,22,1599,1374,841,0,8055,3577,23,23,23,89,-,1.9801ns,-,-,-,-,61,-,-
BF,1,10,3903,22,1599,1374,841,0,8055,3577,23,23,23,89,-,1.9801ns,-,-,-,-,61,-,-
BF,1,11,3903,22,1599,1374,841,0,8055,3577,23,23,23,89,-,1.9801ns,-,-,-,-,61,-,-
BF,1,12,3936,23,1490,1362,984,0,8279,3574,25,25,25,100,-,2.0001ns,-,-,-,-,63,-,-
BF,1,13,3936,23,1490,1362,984,0,8279,3574,25,25,25,100,-,2.0001ns,-,-,-,-,63,-,-
BF,1,14,3936,23,1490,1362,984,0,8279,3574,25,25,25,100,-,2.0001ns,-,-,-,-,63,-,-
BF,1,15,3936,23,1490,1362,984,0,8279,3574,25,25,25,100,-,2.0001ns,-,-,-,-,63,-,-
BF,1,16,3493,24,1500,1056,831,0,7613,3351,24,24,24,106,-,2.0001ns,-,-,-,-,52,-,-
BF,1,17,3533,26,1500,1104,818,0,7656,3381,26,26,26,111,-,2.0601ns,-,-,-,-,70,-,-
BF,1,18,3335,22,1500,1002,764,0,7089,3196,22,22,22,69,-,2.0001ns,-,-,-,-,50,-,-
BF,1,19,3371,24,1500,1050,746,0,7124,3197,24,24,24,75,-,1.9701ns,-,-,-,-,52,-,-
BF,1,20,3499,26,1492,1014,884,0,7704,3395,26,26,26,109,-,2.0001ns,-,-,-,-,54,-,-
BF,1,21,3539,28,1492,1062,872,0,7750,3423,28,28,28,113,-,2.0651ns,-,-,-,-,74,-,-
BF,1,22,3633,23,1609,1164,774,0,7628,3391,24,24,24,86,-,2.0001ns,-,-,-,-,52,-,-
BF,1,23,3878,25,1609,1374,807,0,7948,3505,26,26,26,88,-,2.0001ns,-,-,-,-,54,-,-
BF,1,24,3365,25,1496,966,798,0,7437,3298,25,25,25,105,-,2.0001ns,-,-,-,-,53,-,-
BF,1,25,3365,25,1496,966,798,0,7437,3298,25,25,25,105,-,2.0001ns,-,-,-,-,53,-,-
BF,1,26,3906,22,1605,1380,831,0,8101,3653,23,23,23,90,-,1.9801ns,-,-,-,-,51,-,-
BF,1,27,3906,22,1605,1380,831,0,8101,3653,23,23,23,90,-,1.9801ns,-,-,-,-,51,-,-
BF,1,28,3296,27,1387,960,838,0,7447,3320,27,27,27,111,-,2.76ns,-,-,-,-,55,-,-
BF,1,29,3296,27,1387,960,838,0,7447,3320,27,27,27,111,-,2.76ns,-,-,-,-,55,-,-
BF,1,30,3930,23,1496,1362,965,0,8280,3616,25,25,25,107,-,1.9001ns,-,-,-,-,53,-,-
BF,1,31,3930,23,1496,1362,965,0,8280,3616,25,25,25,107,-,1.9001ns,-,-,-,-,53,-,-
BF,1,32,3822,25,1490,1068,1011,0,9791,3969,25,25,25,253,-,2.0001ns,-,-,-,-,47,-,-
BF,1,33,3866,27,1490,1116,1000,0,9865,4016,27,27,27,260,-,2.0601ns,-,-,-,-,66,-,-
BF,1,34,3379,22,1490,1008,785,0,7488,3325,22,22,22,96,-,2.0001ns,-,-,-,-,44,-,-
BF,1,35,3410,24,1490,1050,768,0,7528,3327,24,24,24,102,-,1.9701ns,-,-,-,-,46,-,-
BF,1,36,3820,26,1482,1020,1065,0,9840,3976,26,26,26,253,-,2.0001ns,-,-,-,-,48,-,-
BF,1,37,3860,28,1482,1068,1053,0,9883,4003,28,28,28,257,-,2.0651ns,-,-,-,-,68,-,-
BF,1,38,3668,23,1599,1158,798,0,8031,3516,24,24,24,113,-,2.0001ns,-,-,-,-,46,-,-
BF,1,39,3922,25,1599,1374,834,0,8365,3638,26,26,26,115,-,2.0001ns,-,-,-,-,48,-,-
BF,1,40,3714,26,1486,972,1006,0,9661,3917,26,26,26,250,-,2.0001ns,-,-,-,-,48,-,-
BF,1,41,3684,28,1584,780,1070,0,10027,3998,28,28,28,250,-,2.1201ns,-,-,-,-,70,-,-
BF,1,42,3939,22,1595,1374,854,0,8396,3707,23,23,23,116,-,1.9801ns,-,-,-,-,45,-,-
BF,1,43,3939,22,1595,1374,854,0,8396,3707,23,23,23,116,-,1.9801ns,-,-,-,-,45,-,-
BF,1,44,4470,28,1584,1344,1281,0,11209,4447,28,28,28,261,-,2.0001ns,-,-,-,-,51,-,-
BF,1,45,3686,29,1584,780,1072,0,10037,3998,29,29,29,250,-,2.1601ns,-,-,-,-,72,-,-
BF,1,46,4002,23,1486,1362,1027,0,8707,3765,25,25,25,127,-,2.0001ns,-,-,-,-,47,-,-
BF,1,47,4002,23,1486,1362,1027,0,8707,3765,25,25,25,127,-,2.0001ns,-,-,-,-,47,-,-
BF,1,48,3330,26,1479,1002,756,0,7159,3188,26,26,26,93,-,1.9801ns,-,-,-,-,56,-,-
BF,1,49,3365,28,1479,1050,740,0,7189,3212,28,28,28,96,-,2.0201ns,-,-,-,-,60,-,-
BF,1,50,3330,26,1479,1002,756,0,7159,3188,26,26,26,93,-,1.9801ns,-,-,-,-,56,-,-
BF,1,51,3365,28,1479,1050,740,0,7189,3212,28,28,28,96,-,2.0201ns,-,-,-,-,60,-,-
BF,1,52,3960,27,1597,1356,895,0,8302,3658,28,28,28,112,-,2.0001ns,-,-,-,-,59,-,-
BF,1,53,3945,29,1597,1374,862,0,8271,3646,30,30,30,112,-,1.9601ns,-,-,-,-,63,-,-
BF,1,54,3960,27,1597,1356,895,0,8302,3658,28,28,28,112,-,2.0001ns,-,-,-,-,59,-,-
BF,1,55,3945,29,1597,1374,862,0,8271,3646,30,30,30,112,-,1.9601ns,-,-,-,-,63,-,-
BF,1,56,3944,26,1593,1380,862,0,8241,3685,27,27,27,109,-,1.9801ns,-,-,-,-,57,-,-
BF,1,57,3944,26,1593,1380,862,0,8241,3685,27,27,27,109,-,1.9801ns,-,-,-,-,57,-,-
BF,1,58,3944,26,1593,1380,862,0,8241,3685,27,27,27,109,-,1.9801ns,-,-,-,-,57,-,-
BF,1,59,3944,26,1593,1380,862,0,8241,3685,27,27,27,109,-,1.9801ns,-,-,-,-,57,-,-
BF,1,60,3967,27,1484,1362,1000,0,8453,3676,29,29,29,121,-,1.9801ns,-,-,-,-,60,-,-
BF,1,61,3967,27,1484,1362,1000,0,8453,3676,29,29,29,121,-,1.9801ns,-,-,-,-,60,-,-
BF,1,62,3967,27,1484,1362,1000,0,8453,3676,29,29,29,121,-,1.9801ns,-,-,-,-,60,-,-
BF,1,63,3967,27,1484,1362,1000,0,8453,3676,29,29,29,121,-,1.9801ns,-,-,-,-,60,-,-
BF,1,64,3505,25,1500,1062,832,0,7649,3376,25,25,25,111,-,2.0001ns,-,-,-,-,58,-,-
BF,1,65,3551,27,1500,1110,824,0,7708,3413,27,27,27,117,-,2.0601ns,-,-,-,-,76,-,-
BF,1,66,3340,23,1500,1002,766,0,7119,3212,23,23,23,72,-,2.0001ns,-,-,-,-,56,-,-
BF,1,67,3375,25,1500,1050,749,0,7134,3202,25,25,25,76,-,2.0401ns,-,-,-,-,58,-,-
BF,1,68,3484,27,1492,1014,863,0,7699,3442,27,27,27,115,-,2.0001ns,-,-,-,-,60,-,-
BF,1,69,3526,29,1492,1062,852,0,7753,3475,29,29,29,120,-,2.0601ns,-,-,-,-,80,-,-
BF,1,70,3931,24,1609,1380,853,0,8042,3600,25,25,25,89,-,2.0001ns,-,-,-,-,58,-,-
BF,1,71,3904,26,1609,1374,827,0,8032,3600,27,27,27,94,-,1.9601ns,-,-,-,-,60,-,-
BF,1,72,3372,26,1496,966,799,0,7475,3328,26,26,26,111,-,2.0001ns,-,-,-,-,59,-,-
BF,1,73,3372,26,1496,966,799,0,7475,3328,26,26,26,111,-,2.0001ns,-,-,-,-,59,-,-
BF,1,74,3946,23,1605,1380,872,0,8174,3656,24,24,24,89,-,1.9801ns,-,-,-,-,57,-,-
BF,1,75,3946,23,1605,1380,872,0,8174,3656,24,24,24,89,-,1.9801ns,-,-,-,-,57,-,-
BF,1,76,3300,28,1387,960,840,0,7466,3329,28,28,28,113,-,2.76ns,-,-,-,-,61,-,-
BF,1,77,3300,28,1387,960,840,0,7466,3329,28,28,28,113,-,2.76ns,-,-,-,-,61,-,-
BF,1,78,3977,24,1496,1362,1012,0,8424,3679,26,26,26,107,-,2.0001ns,-,-,-,-,59,-,-
BF,1,79,3977,24,1496,1362,1012,0,8424,3679,26,26,26,107,-,2.0001ns,-,-,-,-,59,-,-
BF,1,80,3483,25,1495,1062,819,0,7604,3333,25,25,25,107,-,2.0001ns,-,-,-,-,48,-,-
BF,1,81,3529,27,1495,1110,811,0,7661,3370,27,27,27,113,-,2.0601ns,-,-,-,-,66,-,-
BF,1,82,3312,23,1495,1002,745,0,7042,3145,23,23,23,70,-,2.0001ns,-,-,-,-,46,-,-
BF,1,83,3352,25,1495,1050,733,0,7080,3175,25,25,25,74,-,2.0401ns,-,-,-,-,48,-,-
BF,1,84,3473,27,1487,1014,860,0,7671,3398,27,27,27,112,-,2.0001ns,-,-,-,-,50,-,-
BF,1,85,3515,29,1487,1062,849,0,7725,3431,29,29,29,117,-,2.0601ns,-,-,-,-,70,-,-
BF,1,86,3911,24,1604,1380,840,0,7984,3546,25,25,25,87,-,2.0001ns,-,-,-,-,48,-,-
BF,1,87,3881,26,1604,1374,811,0,7972,3544,27,27,27,92,-,1.9601ns,-,-,-,-,50,-,-
BF,1,88,3361,26,1491,966,795,0,7453,3288,26,26,26,109,-,2.0001ns,-,-,-,-,49,-,-
BF,1,89,3361,26,1491,966,795,0,7453,3288,26,26,26,109,-,2.0001ns,-,-,-,-,49,-,-
BF,1,90,3921,23,1600,1380,855,0,8106,3595,24,24,24,86,-,1.9801ns,-,-,-,-,47,-,-
BF,1,91,3921,23,1600,1380,855,0,8106,3595,24,24,24,86,-,1.9801ns,-,-,-,-,47,-,-
BF,1,92,3289,28,1382,960,836,0,7444,3289,28,28,28,111,-,2.76ns,-,-,-,-,51,-,-
BF,1,93,3289,28,1382,960,836,0,7444,3289,28,28,28,111,-,2.76ns,-,-,-,-,51,-,-
BF,1,94,3953,24,1491,1362,995,0,8363,3623,26,26,26,105,-,2.0001ns,-,-,-,-,49,-,-
BF,1,95,3953,24,1491,1362,995,0,8363,3623,26,26,26,105,-,2.0001ns,-,-,-,-,49,-,-
BF,1,96,3917,26,1507,1074,1045,0,10276,4116,26,26,26,291,-,2.0001ns,-,-,-,-,43,-,-
BF,1,97,3957,28,1507,1122,1032,0,10329,4151,28,28,28,296,-,2.0601ns,-,-,-,-,62,-,-
BF,1,98,3464,23,1507,1008,813,0,7973,3479,23,23,23,136,-,2.0001ns,-,-,-,-,40,-,-
BF,1,99,3500,25,1507,1056,797,0,8001,3474,25,25,25,140,-,2.0401ns,-,-,-,-,42,-,-
BF,1,100,3915,27,1499,1026,1094,0,10365,4156,27,27,27,296,-,2.0001ns,-,-,-,-,44,-,-
BF,1,101,3956,29,1499,1074,1083,0,10403,4179,29,29,29,300,-,2.0651ns,-,-,-,-,64,-,-
BF,1,102,4000,24,1616,1374,851,0,8902,3857,25,25,25,159,-,1.9001ns,-,-,-,-,42,-,-
BF,1,103,4088,26,1616,1380,928,0,9260,3972,27,27,27,164,-,1.9601ns,-,-,-,-,44,-,-
