Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,cp_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
BF,1,0,314,6,83,150,69,0,644,310,6,6,6,12,-,0.4576ns,-,-,-,-,30,-,-
BF,1,1,400,7,128,156,97,0,880,423,7,7,7,19,-,0.9275ns,-,-,-,-,23,-,-
BF,1,2,672,6,312,228,100,0,1391,680,6,6,6,32,-,1.2075ns,-,-,-,-,18,-,-
BF,1,3,888,11,359,408,97,0,1663,819,11,11,11,24,-,1.0376ns,-,-,-,-,23,-,-
BF,1,4,352,6,83,174,66,0,683,330,7,7,7,29,-,0.49ns,-,-,-,-,25,-,-
BF,1,5,358,7,79,168,92,0,757,370,7,7,7,19,-,0.5882ns,-,-,-,-,23,-,-
BF,1,6,383,8,124,156,86,0,848,413,8,8,8,17,-,0.9275ns,-,-,-,-,16,-,-
BF,1,7,750,8,336,228,133,0,1615,772,8,8,8,53,-,1.2075ns,-,-,-,-,16,-,-
BF,1,8,817,9,359,360,77,0,1522,748,9,9,9,21,-,1.0376ns,-,-,-,-,13,-,-
BF,1,9,389,7,79,192,84,0,768,378,8,8,8,34,-,0.5882ns,-,-,-,-,18,-,-
BF,1,10,339,5,72,162,83,0,707,345,5,5,5,22,-,0.6649ns,-,-,-,-,17,-,-
BF,1,11,558,7,222,210,93,0,1145,570,7,7,7,33,-,0.825ns,-,-,-,-,13,-,-
BF,1,12,650,3,307,306,32,0,1113,561,3,3,3,5,-,1.1575ns,-,-,-,-,3,-,-
BF,1,13,627,3,354,252,16,0,1099,561,3,3,3,5,-,1.0376ns,-,-,-,-,3,-,-
BF,1,14,378,5,72,186,81,0,756,367,6,6,6,39,-,0.6649ns,-,-,-,-,12,-,-
BF,1,15,378,11,72,186,91,0,838,391,11,11,11,29,-,0.4576ns,-,-,-,-,23,-,-
BF,1,16,490,8,117,240,109,0,1015,474,8,8,8,24,-,0.9275ns,-,-,-,-,12,-,-
BF,1,17,650,3,307,306,32,0,1113,561,3,3,3,5,-,1.1575ns,-,-,-,-,3,-,-
BF,1,18,801,9,354,360,73,0,1461,696,9,9,9,14,-,1.0376ns,-,-,-,-,9,-,-
BF,1,19,408,11,72,204,87,0,871,409,12,12,12,45,-,0.4576ns,-,-,-,-,18,-,-
BF,1,20,346,5,83,168,66,0,671,319,6,6,6,29,-,0.4576ns,-,-,-,-,24,-,-
BF,1,21,439,6,128,174,100,0,942,443,7,7,7,37,-,0.9275ns,-,-,-,-,17,-,-
BF,1,22,708,5,317,246,97,0,1431,697,6,6,6,48,-,1.2075ns,-,-,-,-,12,-,-
BF,1,23,934,10,364,426,104,0,1735,844,11,11,11,40,-,1.0376ns,-,-,-,-,17,-,-
BF,1,24,382,5,83,186,66,0,738,349,7,7,7,47,-,0.4576ns,-,-,-,-,19,-,-
BF,1,25,829,4,83,528,189,14,1370,600,4,4,4,15,0,0.9555ns,-,-,-,-,16,-,-
BF,1,26,936,4,175,528,204,10,1608,728,4,4,4,19,0,1.2048ns,-,-,-,-,12,-,-
BF,1,27,1083,3,364,510,185,4,1908,902,3,3,3,20,0,1.0375ns,-,-,-,-,9,-,-
BF,1,28,1058,3,364,510,158,14,1850,856,3,3,3,12,0,1.0375ns,-,-,-,-,9,-,-
BF,1,29,837,5,83,540,183,14,1370,605,5,5,5,17,0,0.9755ns,-,-,-,-,17,-,-
BF,1,30,845,4,79,528,210,10,1438,642,4,4,4,18,0,0.9654ns,-,-,-,-,12,-,-
BF,1,31,912,4,171,522,194,10,1575,714,4,4,4,15,0,1.1248ns,-,-,-,-,8,-,-
BF,1,32,1236,4,383,528,272,4,2381,1117,4,4,4,49,0,1.0375ns,-,-,-,-,8,-,-
BF,1,33,1049,3,359,504,164,10,1856,870,3,3,3,12,0,1.0375ns,-,-,-,-,5,-,-
BF,1,34,852,5,79,540,204,10,1429,642,5,5,5,19,0,1.0254ns,-,-,-,-,13,-,-
BF,1,35,769,2,72,522,174,0,1170,530,2,2,2,1,0,0.7754ns,-,-,-,-,8,-,-
BF,1,36,1048,3,222,576,229,0,1760,820,3,3,3,21,0,1.4429ns,-,-,-,-,7,-,-
BF,1,37,738,1,354,384,0,0,1034,530,1,1,1,0,0,0.9675ns,-,-,-,-,1,-,-
BF,1,38,738,1,354,384,0,0,1034,530,1,1,1,0,0,0.9675ns,-,-,-,-,1,-,-
BF,1,39,797,3,72,534,187,0,1232,555,3,3,3,4,0,0.7954ns,-,-,-,-,9,-,-
BF,1,40,742,2,72,522,147,0,1107,487,2,2,2,1,0,0.7455ns,-,-,-,-,8,-,-
BF,1,41,828,2,164,516,147,0,1300,593,2,2,2,1,0,0.9448ns,-,-,-,-,4,-,-
BF,1,42,738,1,354,384,0,0,1034,530,1,1,1,0,0,0.9675ns,-,-,-,-,1,-,-
BF,1,43,738,1,354,384,0,0,1034,530,1,1,1,0,0,0.9675ns,-,-,-,-,1,-,-
BF,1,44,770,3,72,534,160,0,1169,512,3,3,3,4,0,0.7655ns,-,-,-,-,9,-,-
BF,1,45,810,4,83,528,169,14,1298,576,4,4,4,16,0,0.9355ns,-,-,-,-,16,-,-
BF,1,46,917,4,175,528,184,10,1539,707,4,4,4,20,0,1.1548ns,-,-,-,-,12,-,-
BF,1,47,1028,3,364,462,177,4,1838,870,3,3,3,21,0,1.0375ns,-,-,-,-,9,-,-
BF,1,48,1003,3,364,462,150,14,1780,824,3,3,3,13,0,1.0375ns,-,-,-,-,9,-,-
BF,1,49,838,5,83,540,183,14,1372,606,5,5,5,18,0,0.9855ns,-,-,-,-,17,-,-
BF,1,50,1669,3,485,528,645,0,3493,1428,3,3,3,11,0,0.806ns,-,-,-,-,15,-,-
BF,1,51,1472,3,329,528,605,0,3063,1273,3,3,3,10,0,1.1346ns,-,-,-,-,11,-,-
BF,1,52,1237,2,364,504,353,0,2457,1125,2,2,2,16,0,1.5687ns,-,-,-,-,8,-,-
BF,1,53,1411,2,364,504,541,0,2875,1162,2,2,2,2,0,1.7735ns,-,-,-,-,8,-,-
BF,1,54,1744,4,552,534,649,0,3637,1498,4,4,4,9,0,0.806ns,-,-,-,-,16,-,-
BF,1,55,1140,3,79,528,522,0,2218,883,3,3,3,11,0,1.0592ns,-,-,-,-,11,-,-
BF,1,56,1374,3,325,522,516,0,2723,1150,3,3,3,11,0,1.3792ns,-,-,-,-,7,-,-
BF,1,57,1557,2,383,504,638,0,3456,1537,2,2,2,32,0,1.9799ns,-,-,-,-,4,-,-
BF,1,58,1290,2,359,498,430,0,2493,1067,2,2,2,3,0,1.9567ns,-,-,-,-,4,-,-
BF,1,59,1137,4,79,534,515,0,2184,869,4,4,4,9,0,1.0592ns,-,-,-,-,12,-,-
BF,1,60,765,2,72,522,166,0,1174,541,2,2,2,5,0,0.6481ns,-,-,-,-,8,-,-
BF,1,61,1004,2,222,522,250,0,1751,812,2,2,2,10,0,1.3831ns,-,-,-,-,4,-,-
BF,1,62,738,1,354,384,0,0,1034,530,1,1,1,0,0,0.9675ns,-,-,-,-,1,-,-
BF,1,63,738,1,354,384,0,0,1034,530,1,1,1,0,0,0.9675ns,-,-,-,-,1,-,-
BF,1,64,793,3,72,534,179,0,1236,566,3,3,3,8,0,0.6681ns,-,-,-,-,9,-,-
BF,1,65,1156,2,474,522,159,0,2011,956,2,2,2,1,0,0.7575ns,-,-,-,-,8,-,-
