Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,cp_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
BF,1,0,1636,7,587,768,249,0,2750,1310,7,7,7,32,-,2.4076ns,-,-,-,-,45,-,-
BF,1,1,1636,7,587,768,249,0,2750,1310,7,7,7,32,-,2.4076ns,-,-,-,-,45,-,-
BF,1,2,2816,9,1694,774,313,0,4866,2316,9,9,9,35,-,3.0376ns,-,-,-,-,39,-,-
BF,1,3,2816,9,1694,774,313,0,4866,2316,9,9,9,35,-,3.0376ns,-,-,-,-,39,-,-
BF,1,4,5828,13,4487,936,355,0,9874,4689,13,13,13,50,-,3.2109ns,-,-,-,-,35,-,-
BF,1,5,5579,13,4187,834,506,0,9655,4455,13,13,13,52,-,3.291ns,-,-,-,-,35,-,-
BF,1,6,1180,7,593,354,185,0,2187,1056,8,8,8,48,-,2.4076ns,-,-,-,-,38,-,-
BF,1,7,1180,7,593,354,185,0,2187,1056,8,8,8,48,-,2.4076ns,-,-,-,-,38,-,-
BF,1,8,1143,8,593,336,181,0,2126,1027,8,8,8,33,-,2.4076ns,-,-,-,-,47,-,-
BF,1,9,1143,8,593,336,181,0,2126,1027,8,8,8,33,-,2.4076ns,-,-,-,-,47,-,-
BF,1,10,1662,7,583,774,270,0,2828,1339,7,7,7,35,-,2.5382ns,-,-,-,-,37,-,-
BF,1,11,1634,7,583,768,251,0,2758,1308,7,7,7,32,-,2.4076ns,-,-,-,-,37,-,-
BF,1,12,2859,9,1690,780,347,0,4994,2361,9,9,9,42,-,3.1682ns,-,-,-,-,31,-,-
BF,1,13,2833,9,1712,774,312,0,4913,2339,9,9,9,35,-,3.0376ns,-,-,-,-,31,-,-
BF,1,14,5774,12,4488,894,343,0,9779,4634,12,12,12,49,-,3.211ns,-,-,-,-,26,-,-
BF,1,16,1219,7,589,378,201,0,2263,1092,8,8,8,51,-,2.5382ns,-,-,-,-,30,-,-
BF,1,17,1192,7,589,372,183,0,2198,1063,8,8,8,48,-,2.4076ns,-,-,-,-,30,-,-
BF,1,18,1182,8,589,360,197,0,2202,1063,8,8,8,36,-,2.5382ns,-,-,-,-,39,-,-
BF,1,19,1155,8,589,354,179,0,2137,1034,8,8,8,33,-,2.4076ns,-,-,-,-,39,-,-
BF,1,20,1706,7,598,768,295,0,2995,1411,7,7,7,45,-,2.6149ns,-,-,-,-,33,-,-
BF,1,21,1631,7,583,768,248,0,2775,1320,7,7,7,32,-,2.4076ns,-,-,-,-,33,-,-
BF,1,22,2913,9,1699,774,376,0,5191,2447,9,9,9,64,-,3.2449ns,-,-,-,-,27,-,-
BF,1,23,2808,9,1692,774,306,0,4888,2327,9,9,9,36,-,3.0376ns,-,-,-,-,27,-,-
BF,1,24,5654,12,4483,798,327,0,9652,4584,12,12,12,46,-,3.211ns,-,-,-,-,22,-,-
BF,1,26,1235,7,589,366,221,0,2371,1138,8,8,8,59,-,2.6149ns,-,-,-,-,26,-,-
BF,1,27,1184,7,589,366,181,0,2213,1074,8,8,8,48,-,2.4076ns,-,-,-,-,26,-,-
BF,1,28,1198,8,589,348,217,0,2310,1109,8,8,8,44,-,2.6149ns,-,-,-,-,35,-,-
BF,1,29,1147,8,589,348,177,0,2152,1045,8,8,8,33,-,2.4076ns,-,-,-,-,35,-,-
BF,1,30,1690,13,578,774,288,0,2971,1425,13,13,13,50,-,2.4576ns,-,-,-,-,37,-,-
BF,1,31,1690,13,578,774,288,0,2971,1425,13,13,13,50,-,2.4576ns,-,-,-,-,37,-,-
BF,1,32,2852,15,1685,774,338,0,5048,2415,15,15,15,55,-,3.0876ns,-,-,-,-,31,-,-
BF,1,33,2852,15,1685,774,338,0,5048,2415,15,15,15,55,-,3.0876ns,-,-,-,-,31,-,-
BF,1,34,5878,12,4478,984,374,0,9954,4704,12,12,12,42,-,3.2109ns,-,-,-,-,20,-,-
BF,1,35,5665,12,4178,906,533,0,9780,4474,12,12,12,48,-,3.291ns,-,-,-,-,20,-,-
BF,1,37,1220,13,587,360,206,0,2413,1165,14,14,14,67,-,2.4076ns,-,-,-,-,30,-,-
BF,1,38,1187,14,587,342,207,0,2365,1142,14,14,14,51,-,2.4076ns,-,-,-,-,39,-,-
BF,1,39,1187,14,587,342,207,0,2365,1142,14,14,14,51,-,2.4076ns,-,-,-,-,39,-,-
